Language,word_in_children_res,word_in_second_lang_learn_res,en_lemmas,n_hyponyms,n_synonyms,n_syn_senses,avg_word_length,avg_pronounce_complexity,avg_word_frequency,avg_n_senses,example_en_lemma,example_en_gloss,ili
it,0,0,"rose, rosebush",5,2,10,5,0.1925,3.31E-05,5,rose,any of many shrubs of the genus Rosa that bear roses,i103203
es,0,0,"rose, rosebush",0,1,5,4,0.186,5.13E-05,5,rose,any of many shrubs of the genus Rosa that bear roses,i103203
nb,1,1,"rose, rosebush",0,1,1,4,0.466,2.19E-05,1,rose,any of many shrubs of the genus Rosa that bear roses,i103203
en,0,0,"rose, rosebush",11,2,4,6,0.4865,3.31E-05,2,rose,any of many shrubs of the genus Rosa that bear roses,i103203
en,0,1,wood,91,1,8,4,0.199,6.03E-05,8,wood,the hard fibrous lignified substance under the bark of trees,i116549
nb,0,0,wood,0,1,2,3,0.442,6.92E-04,2,wood,the hard fibrous lignified substance under the bark of trees,i116549
it,0,0,wood,44,2,5,6,0.1875,2.57E-05,2.5,wood,the hard fibrous lignified substance under the bark of trees,i116549
es,0,0,wood,12,1,3,6,0.189,4.90E-05,3,wood,the hard fibrous lignified substance under the bark of trees,i116549
nb,0,1,midnight,0,1,1,7,0.884,1.35E-05,1,midnight,12 o'clock at night; the middle of the night,i116927
it,0,0,midnight,0,1,3,10,0.797,1.78E-05,3,midnight,12 o'clock at night; the middle of the night,i116927
en,0,0,midnight,0,1,1,8,0.638,2.04E-05,1,midnight,12 o'clock at night; the middle of the night,i116927
es,0,0,midnight,0,1,1,10,0.758,7.59E-06,1,midnight,12 o'clock at night; the middle of the night,i116927
it,0,0,"break of day, first light, morning",0,7,26,5.333333,0.362333,1.06E-05,5.666667,break of day,the first light of day,i116932
en,1,1,"break of day, first light, morning",0,12,21,10,0.711,1.75E-04,2,break of day,the first light of day,i116932
es,0,0,"break of day, first light, morning",0,2,4,6,0.194,1.91E-05,2,break of day,the first light of day,i116932
nb,0,0,"break of day, first light, morning",0,1,1,6,0.828,1.29E-06,1,break of day,the first light of day,i116932
en,0,1,"dusk, fall, twilight",1,9,22,5.333333,0.269,4.81E-05,5.333333,dusk,the time of day immediately following sunset,i116935
es,0,0,"dusk, fall, twilight",1,3,6,9.666667,0.778667,1.63E-06,2,dusk,the time of day immediately following sunset,i116935
it,0,0,"dusk, fall, twilight",0,2,4,9.5,0.7925,1.03E-06,2,dusk,the time of day immediately following sunset,i116935
nb,0,0,"dusk, fall, twilight",0,1,1,9,0.892,5.75E-08,1,dusk,the time of day immediately following sunset,i116935
it,0,1,"time of year, season",11,1,5,8,0.842,1.29E-04,5,time of year,one of the natural periods into which the year is divided by the equinoxes and solstices or atmospheric conditions,i117307
en,0,1,"time of year, season",8,2,4,9,0.758,4.54E-04,2,time of year,one of the natural periods into which the year is divided by the equinoxes and solstices or atmospheric conditions,i117307
es,0,1,"time of year, season",5,1,3,8,0.804,6.46E-05,3,time of year,one of the natural periods into which the year is divided by the equinoxes and solstices or atmospheric conditions,i117307
nb,0,0,"time of year, season",5,1,1,6,0.862,9.55E-07,1,time of year,one of the natural periods into which the year is divided by the equinoxes and solstices or atmospheric conditions,i117307
es,1,1,"summer, summertime",0,1,1,6,0.2,8.71E-05,1,summer,the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox,i117310
nb,1,1,"summer, summertime",0,1,1,6,0.754,1.02E-04,1,summer,the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox,i117310
en,1,1,"summer, summertime",0,2,3,8,0.203,8.59E-05,1.5,summer,the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox,i117310
it,1,1,"summer, summertime",0,1,2,6,0.729,6.92E-05,2,summer,the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox,i117310
nb,1,1,"celebration, festivity",1,3,13,5.666667,0.675,4.47E-05,4.333333,celebration,any joyous diversion,i37653
it,0,0,"celebration, festivity",3,2,7,9.75,0.65575,5.96E-06,3,celebration,any joyous diversion,i37653
es,0,0,"celebration, festivity",3,2,5,9,0.7585,1.68E-05,2.5,celebration,any joyous diversion,i37653
en,0,0,"celebration, festivity",7,2,4,10,0.7365,9.92E-06,2,celebration,any joyous diversion,i37653
it,1,1,"association football, soccer",0,3,14,7,0.716667,5.36E-05,4.666667,association football,a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal,i37904
es,1,1,"association football, soccer",0,1,2,6,0.701,1.15E-04,2,association football,a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal,i37904
nb,1,1,"association football, soccer",0,1,1,7,0.84,2.00E-04,1,association football,a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal,i37904
en,0,0,"association football, soccer",0,2,2,13,0.679,4.36E-05,1,association football,a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal,i37904
en,0,1,"sport, athletics",20,2,10,7,0.7915,3.02E-05,5,sport,an active diversion requiring physical exertion and competition,i38140
it,0,1,"sport, athletics",20,1,2,5,0.759,8.91E-05,2,sport,an active diversion requiring physical exertion and competition,i38140
nb,0,1,"sport, athletics",1,2,2,5.5,0.832,4.75E-05,1,sport,an active diversion requiring physical exertion and competition,i38140
es,0,1,"sport, athletics",8,1,2,7,0.208,4.90E-05,2,sport,an active diversion requiring physical exertion and competition,i38140
es,0,1,"squealer, hog, pig",1,5,10,4.666667,0.386,7.85E-04,2.666667,squealer,domestic swine,i48199
en,0,0,"squealer, hog, pig",1,5,15,4.666667,0.429,5.86E-06,3.666667,squealer,domestic swine,i48199
it,0,1,"squealer, hog, pig",0,3,10,6.5,0.42975,6.49E-06,3,squealer,domestic swine,i48199
nb,0,1,"squealer, hog, pig",0,1,2,4,0.644,1.15E-05,2,squealer,domestic swine,i48199
en,1,1,fish,13,1,4,4,0.197,7.94E-05,4,fish,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills,i48880
nb,1,1,fish,0,1,2,4,0.398,5.13E-05,2,fish,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills,i48880
it,1,0,fish,3,1,5,5,0.199,4.07E-05,5,fish,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills,i48880
es,1,0,fish,2,2,3,4.5,0.477,7.77E-06,1.5,fish,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills,i48880
es,1,1,boat,8,3,12,6.666667,0.406,1.57E-05,4,boat,a small vessel for travel on water,i50885
it,1,0,boat,19,3,9,6.666667,0.416333,9.00E-06,3,boat,a small vessel for travel on water,i50885
nb,1,1,boat,2,1,1,3,0.203,5.01E-05,1,boat,a small vessel for travel on water,i50885
en,1,1,boat,26,1,2,4,0.202,5.13E-05,2,boat,a small vessel for travel on water,i50885
en,0,1,"passenger vehicle, bus, coach",3,10,18,8.333333,0.496667,5.86E-05,3.333333,passenger vehicle,a vehicle carrying many passengers; used for public transport,i51285
it,0,0,"passenger vehicle, bus, coach",3,7,9,7.75,0.57625,1.01E-05,1.5,passenger vehicle,a vehicle carrying many passengers; used for public transport,i51285
nb,0,1,"passenger vehicle, bus, coach",0,1,1,4,0.273,3.89E-05,1,passenger vehicle,a vehicle carrying many passengers; used for public transport,i51285
es,0,1,"passenger vehicle, bus, coach",2,1,1,7,0.2,2.04E-05,1,passenger vehicle,a vehicle carrying many passengers; used for public transport,i51285
it,0,0,cathedral,0,2,3,7.5,0.6445,1.71E-05,1.5,cathedral,any large and important church,i51645
es,0,1,cathedral,0,1,2,8,0.753,1.82E-05,2,cathedral,any large and important church,i51645
en,0,0,cathedral,2,1,2,9,0.865,9.77E-06,2,cathedral,any large and important church,i51645
nb,0,0,cathedral,0,1,1,8,0.826,1.05E-06,1,cathedral,any large and important church,i51645
it,0,1,"church, church building",4,1,4,6,0.658,1.91E-04,4,church,a place for public (especially Christian) worship,i51914
es,0,1,"church, church building",3,1,4,7,0.758,1.32E-04,4,church,a place for public (especially Christian) worship,i51914
en,0,1,"church, church building",5,2,5,10.5,0.8735,1.14E-04,2.5,church,a place for public (especially Christian) worship,i51914
nb,0,1,"church, church building",1,3,3,8.333333,0.808333,3.00E-05,1,church,a place for public (especially Christian) worship,i51914
en,0,0,"diadem, crown",1,2,13,5.5,0.427,1.83E-05,6.5,diadem,an ornamental jeweled headdress signifying sovereignty,i52549
it,0,0,"diadem, crown",1,2,14,6.5,0.4875,1.29E-05,7,diadem,an ornamental jeweled headdress signifying sovereignty,i52549
nb,1,1,"diadem, crown",0,1,1,5,0.792,1.48E-05,1,diadem,an ornamental jeweled headdress signifying sovereignty,i52549
es,0,0,"diadem, crown",0,1,6,6,0.2,2.95E-05,6,diadem,an ornamental jeweled headdress signifying sovereignty,i52549
es,0,0,farm,4,4,15,7.666667,0.809333,1.51E-05,4.333333,farm,workplace consisting of farm buildings and cultivated land as a unit,i53601
it,0,0,farm,9,4,12,9,0.730667,6.77E-06,3.666667,farm,workplace consisting of farm buildings and cultivated land as a unit,i53601
