ili,relevant_lang,representation_lemma,mean_basicness_en,mean_basicness_es,mean_basicness_it,mean_basicness_nb,mean_basicness_silver
i79004,en,tea,3.666666667,3.666666667,3,3.666666667,3.555555556
i55427,en,knight,2.666666667,2,3,1.666666667,2.111111111
i76564,en,breakfast,4,3.333333333,3.333333333,4,3.666666667
i82392,en,countryside,3.666666667,3.666666667,3.333333333,3.333333333,2.777777778
i37904,en,soccer,4,4,3.666666667,3.666666667,3.666666667
i48880,en,fish,4,2.666666667,4,4,3.555555556
i92240,en,prince,3.666666667,3.666666667,2.666666667,3.666666667,2.555555556
i97801,en,fog,3.666666667,3.666666667,2.333333333,2.666666667,3.444444444
i54942,en,inn,2.333333333,3,1.666666667,1.666666667,3.111111111
i98170,en,weather,2.666666667,3.333333333,3.333333333,3.666666667,2.666666667
i73479,en,theater,3,3.333333333,2.333333333,4,2.777777778
i98034,en,rain,4,4,4,3.666666667,3.666666667
i90847,en,king,4,4,3.666666667,3.666666667,2.777777778
i55356,en,kettle,2.333333333,3.333333333,2,2.666666667,3.222222222
i60698,en,umbrella,4,3.333333333,3,2.666666667,3.666666667
i52549,en,crown,2.666666667,4,2,2.666666667,2.777777778
i51285,en,bus,2.666666667,4,3,3.333333333,3.555555556
i59896,en,sword,1.333333333,4,2.666666667,2.333333333,2.111111111
i78683,en,beer,4,4,3.333333333,3.333333333,3.555555556
i103203,en,rose,2.666666667,3.666666667,3.333333333,3,3.333333333
i90350,it,guest,2.666666667,4,3,3.333333333,3.111111111
i56131,it,monument,2.666666667,3.333333333,2.333333333,2.333333333,2.888888889
i75850,it,party,4,4,3.333333333,3.666666667,3.666666667
i68078,it,religion,2.666666667,4,3,3.666666667,2.333333333
i86143,it,sea,4,3.666666667,4,4,3.555555556
i48880,it,fish,4,4,4,4,3.555555556
i56911,it,painting,3.666666667,3.666666667,3.333333333,3.333333333,3.222222222
i37904,it,soccer,4,4,3.666666667,3.666666667,3.666666667
i86562,it,nature,3.333333333,3.666666667,2.666666667,4,1.777777778
i85815,it,mountain,3.666666667,3.666666667,4,4,3.555555556
i80343,it,village,2.666666667,4,3.333333333,3,3.333333333
i80699,it,culture,2.666666667,3.666666667,2.666666667,3,2.222222222
i86148,it,coast,3,4,3,3.333333333,3.444444444
i51914,it,church,3.666666667,4,3.666666667,3,3.555555556
i37653,it,celebration,2.666666667,3.333333333,2.333333333,3.666666667,3.111111111
i78715,it,wine,4,4,3.666666667,3,3.555555556
i117310,it,summer,4,4,3.666666667,4,3.444444444
i78981,it,coffee,4,4,3.666666667,2.666666667,3.555555556
i53601,it,farm,4,2.666666667,3,3,3.555555556
i58585,it,sculpture,2.666666667,3.666666667,3,3,2.888888889
i56381,es,mosaic,2,3,1.666666667,1.666666667,2.555555556
i37904,es,soccer,4,4,3.666666667,3.666666667,3.666666667
i54496,es,guitar,4,4,3.666666667,4,3.555555556
i56337,es,monastery,2.333333333,3.333333333,2.333333333,2,2.555555556
i76902,es,pastry,2,4,4,3.333333333,3.444444444
i59503,es,statue,3,3.666666667,3.666666667,2.666666667,3.333333333
i51645,es,cathedral,2.333333333,3.333333333,2.666666667,2.333333333,2.666666667
i57055,es,terrace,2,3.666666667,3.333333333,2.666666667,3.333333333
i78715,es,wine,4,4,3.666666667,3.333333333,3.555555556
i77246,es,ham,2.666666667,3.666666667,3.666666667,3,3.333333333
i78427,es,cheese,4,4,3.666666667,3.333333333,3.666666667
i79200,es,family,4,4,3.333333333,3.333333333,3.222222222
i86272,es,sun,4,4,4,4,3.555555556
i86143,es,sea,4,4,4,4,3.555555556
i86379,es,valley,3,4,2.666666667,3,3.555555556
i89974,es,fisherman,2.666666667,4,3,3.666666667,3.111111111
i77610,es,bean,2.666666667,3.333333333,3.333333333,3,3.444444444
i48199,es,pig,4,3.333333333,3.666666667,3.666666667,3.444444444
i92688,es,saint,2.333333333,4,2,2.333333333,2.444444444
i116932,es,sunrise,3.666666667,3.666666667,3,2,3.444444444
i38140,nb,sport,4,3.666666667,3.333333333,3.666666667,3.222222222
i86078,nb,river,3.666666667,4,4,4,3.555555556
i75330,nb,wave,3,3.666666667,3.666666667,3.333333333,3.555555556
i52549,nb,crown,2.333333333,4,2,2.333333333,2.777777778
i85647,nb,lake,3.666666667,4,4,3.666666667,3.555555556
i82357,nb,harbor,2.333333333,3.666666667,3.666666667,3,3.333333333
i117307,nb,season,3.333333333,3.666666667,3.333333333,3,3.111111111
i85180,nb,cave,3,3.333333333,2.666666667,3,3.555555556
i97824,nb,storm,3,3.333333333,3.333333333,3.333333333,3.444444444
i98073,nb,snow,3.666666667,4,3.666666667,4,3.555555556
i116927,nb,midnight,3,3.666666667,3,3.333333333,3.333333333
i90847,nb,king,4,4,3.666666667,3,2.777777778
i116932,nb,aurora,3.666666667,3.666666667,3,2.333333333,3.444444444
i50885,nb,boat,4,4,4,4,3.555555556
i116549,nb,wood,3.333333333,4,4,4,3.444444444
i116935,nb,twilight,1.666666667,3.333333333,2,1.333333333,3.222222222
i58996,nb,ski,3,2.666666667,2.666666667,3.666666667,3.555555556
i85815,nb,mountain,3.666666667,4,4,4,3.555555556
i86414,nb,waterfall,2.333333333,4,2.666666667,3.333333333,3.555555556
i86562,nb,nature,3.666666667,3.666666667,2.666666667,3.666666667,1.777777778
