model1,model2,kappa,correlation,binary_kappa,binary_agreement,mse,n_items
claude_3_7_sonnet,deepseek_r1,0.3468579910935181,0.5075973029712159,0.326923076923077,0.9125,0.4875,80
claude_3_7_sonnet,gpt_4o,0.5710955710955711,0.6693154666796457,0.41666666666666663,0.9125,0.3125,80
claude_3_7_sonnet,gpt_o1,0.12102772143340101,0.6997364793843347,0.3214285714285714,0.7625,0.8375,80
claude_3_7_sonnet,gpt_o3_mini_high,0.5357142857142857,0.5723217428701015,0.6323529411764706,0.9375,0.375,80
claude_3_7_sonnet,gemini_2_0_flash,0.16317991631799167,0.6712249504997303,0.314516129032258,0.7875,0.75,80
claude_3_7_sonnet,grok_2,0.1291291291291291,0.6085381883551076,0.39814814814814814,0.8375,0.725,80
claude_3_7_sonnet,llama_3_70b,0.3910395824271422,0.5779635578817086,0.6323529411764706,0.9375,0.4375,80
claude_3_7_sonnet,mistral_medium,0.23842492427520556,0.376610118622248,0.125,0.825,0.65,80
deepseek_r1,gpt_4o,0.5056179775280899,0.620997692460685,0.7377049180327868,0.975,0.275,80
deepseek_r1,gpt_o1,0.04477611940298509,0.5853874260514261,0.1578947368421053,0.725,1.425,80
deepseek_r1,gpt_o3_mini_high,0.5638229634381013,0.6675992629184891,0.5778364116094987,0.95,0.2125,80
deepseek_r1,gemini_2_0_flash,0.04948280682135875,0.6123509626891115,0.19732441471571893,0.775,1.2875,80
deepseek_r1,grok_2,0.056434756643774175,0.6212183016458237,0.25233644859813087,0.825,1.1375,80
deepseek_r1,llama_3_70b,0.17050691244239624,0.41470096320610966,0.5778364116094987,0.95,0.725,80
deepseek_r1,mistral_medium,0.2655086848635235,0.44753814906158573,0.10204081632653061,0.8625,0.5625,80
gpt_4o,gpt_o1,0.09433962264150941,0.638469690765353,0.2558139534883721,0.75,0.9,80
gpt_4o,gpt_o3_mini_high,0.5851851851851853,0.703886164881446,0.6404494382022472,0.95,0.2625,80
gpt_4o,gemini_2_0_flash,0.10479573712255774,0.7188426549010947,0.31550802139037437,0.8,0.7875,80
gpt_4o,grok_2,0.12138728323699421,0.645010399424805,0.39622641509433965,0.85,0.7125,80
gpt_4o,llama_3_70b,0.33640552995391704,0.5412121208545452,0.4606741573033708,0.925,0.45,80
gpt_4o,mistral_medium,0.41920374707259955,0.562408599313346,0.19999999999999996,0.8625,0.3875,80
gpt_o1,gpt_o3_mini_high,0.1057134971018493,0.6305266561934761,0.34841628959276016,0.775,1.2375,80
gpt_o1,gemini_2_0_flash,0.7487787857641311,0.8229185304639703,0.8174904942965779,0.925,0.1125,80
gpt_o1,grok_2,0.7220077220077219,0.7749691016295572,0.7450199203187251,0.9,0.1125,80
gpt_o1,llama_3_70b,0.17478510028653294,0.435643891516492,0.27601809954751133,0.75,0.475,80
gpt_o1,mistral_medium,0.18900343642611683,0.5559770826308836,0.4782608695652174,0.8125,0.8625,80
gpt_o3_mini_high,gemini_2_0_flash,0.16123547747237177,0.6759030312441171,0.4244604316546763,0.825,1.075,80
gpt_o3_mini_high,grok_2,0.1327913279132792,0.5905107249786592,0.5243757431629013,0.875,1.025,80
gpt_o3_mini_high,llama_3_70b,0.24191750278706803,0.42819225613619105,0.6868884540117417,0.95,0.6875,80
gpt_o3_mini_high,mistral_medium,0.3901345291479821,0.48602640182215845,0.4098360655737705,0.8875,0.575,80
gemini_2_0_flash,grok_2,0.8069187449718423,0.8741370890561916,0.8624247635425624,0.95,0.075,80
gemini_2_0_flash,llama_3_70b,0.24984875983061106,0.5058282572566016,0.4244604316546763,0.825,0.3875,80
gemini_2_0_flash,mistral_medium,0.20848056537102477,0.6731888785021232,0.5728155339805825,0.8625,0.775,80
grok_2,llama_3_70b,0.25052047189451765,0.44494522808316933,0.4292508917954815,0.85,0.3375,80
grok_2,mistral_medium,0.2395437262357415,0.6867712753459889,0.6923076923076923,0.9125,0.625,80
llama_3_70b,mistral_medium,0.03719912472647702,0.16724256030327347,0.14754098360655743,0.8375,0.7125,80
