Language,basicness_score,basicness_rank,basicness_score_softmax,basicness_score_softmax_clip,basicness_score_softmax_scale,combined_metric_softmax,combined_metric_softmax_clip,word_in_children_res,word_in_second_lang_learn_res,en_lemmas,n_hyponyms,n_synonyms,n_syn_senses,avg_word_length,avg_pronounce_complexity,avg_word_frequency,avg_n_senses,normalized_length,normalized_pronounce_complexity,normalized_n_senses,normalized_frequency,normalized_n_hyponyms,normalized_n_synonyms,example_en_lemma,example_en_gloss,ili
nb,0.9999999999128549,4,0.0047607444572371985,0.0047607444572371985,0.0047607444572371985,0.8161270479552443,0.8161270479552443,1,1,"rosebush, rose",0,1,1,4.0,0.466,2.19e-05,1.0,0.1249999999984375,0.466,0.0,0.031566924770927526,0.0,0.0,rosebush,any of many shrubs of the genus Rosa that bear roses,i103203
es,0.09409247913604503,1,0.0035461678011286545,0.0035461678011286545,0.0035461678011286545,0.5215905211373318,0.5215905211373318,0,0,"rosebush, rose",0,1,5,4.0,0.186,5.13e-05,5.0,0.16666666666527777,0.186,0.3076923076899408,0.06339420512894473,0.0,0.0,rosebush,any of many shrubs of the genus Rosa that bear roses,i103203
it,0.027671595363250753,1,0.0034458935718281822,0.0034458935718281822,0.0034458935718281822,0.49290624643682274,0.49290624643682274,0,0,"rosebush, rose",5,2,10,5.0,0.1925,3.30699e-05,5.0,0.21428571428418366,0.1925,0.2258064516114464,0.03358180128203717,0.06849315068483768,0.09090909090826446,rosebush,any of many shrubs of the genus Rosa that bear roses,i103203
en,0.0,1,0.0032208095073459966,0.0032208095073459966,0.003220809507345997,0.42535572111923176,0.42535572111923176,0,0,"rosebush, rose",11,2,4,6.0,0.48650000000000004,3.307945e-05,2.0,0.299999999997,0.48650000000000004,0.14285714285510204,0.06588722711719067,0.0549999999999725,0.09090909090826446,rosebush,any of many shrubs of the genus Rosa that bear roses,i103203
en,0.9999999998819638,4,0.004341030541535295,0.004341030541535295,0.004341030541535295,0.7238347652533702,0.7238347652533702,0,1,wood,91,1,8,4.0,0.199,6.03e-05,8.0,0.099999999999,0.199,0.9999999999857143,0.12629543811823127,0.45499999999977253,0.0,wood,the hard fibrous lignified substance under the bark of trees,i116549
nb,0.8017808743168316,4,0.004100635082089148,0.004100635082089148,0.004100635082089149,0.6668648531469737,0.6668648531469737,0,0,wood,0,1,2,3.0,0.442,0.000692,2.0,0.0,0.442,0.11111111110987654,0.9999998554793418,0.0,0.0,wood,the hard fibrous lignified substance under the bark of trees,i116549
it,0.0,1,0.0033146576650869893,0.0033146576650869893,0.0033146576650869893,0.454077343216547,0.454077343216547,0,0,wood,44,2,5,6.0,0.1875,2.5725e-05,2.5,0.2857142857122449,0.1875,0.06451612903184183,0.02588247108571258,0.6027397260265716,0.09090909090826446,wood,the hard fibrous lignified substance under the bark of trees,i116549
es,0.023249423278482072,1,0.0032391021600240585,0.0032391021600240585,0.0032391021600240585,0.4310191736598309,0.4310191736598309,0,0,wood,12,1,3,6.0,0.189,4.9e-05,3.0,0.33333333333055554,0.189,0.1538461538449704,0.0604586973416169,0.32432432432344777,0.0,wood,the hard fibrous lignified substance under the bark of trees,i116549
nb,0.9999999998395797,4,0.0032794968853074188,0.0032794968853074188,0.003279496885307419,0.4434130153666821,0.4434130153666821,0,1,midnight,0,1,1,7.0,0.884,1.35e-05,1.0,0.49999999999375,0.884,0.0,0.019427189480745944,0.0,0.0,midnight,12 o'clock at night; the middle of the night,i116927
en,0.08368484683803581,1,0.002848975179512113,0.002848975179512113,0.002848975179512113,0.30268233683951634,0.30268233683951634,0,0,midnight,0,1,1,8.0,0.638,2.04e-05,1.0,0.499999999995,0.638,0.0,0.03774882098736802,0.0,0.0,midnight,12 o'clock at night; the middle of the night,i116927
it,0.027380265337080663,1,0.00270153924592199,0.00270153924592199,0.0027015392459219904,0.24954469501397014,0.24954469501397014,0,0,midnight,0,1,3,10.0,0.797,1.78e-05,3.0,0.5714285714244898,0.797,0.09677419354776275,0.017575048002229848,0.0,0.0,midnight,12 o'clock at night; the middle of the night,i116927
es,0.0,1,0.002572030270448256,0.002572030270448256,0.002572030270448256,0.2004185688933762,0.2004185688933762,0,0,midnight,0,1,1,10.0,0.758,7.59e-06,1.0,0.6666666666611111,0.758,0.0,0.007606794092379919,0.0,0.0,midnight,12 o'clock at night; the middle of the night,i116927
en,0.999999999910069,4,0.0035187567567965235,0.0035187567567965235,0.0035187567567965235,0.5138307264920404,0.5138307264920404,1,1,"break of day, first light, morning",0,12,21,10.0,0.711,0.00017533333333333333,2.0,0.699999999993,0.711,0.14285714285510204,0.3815789600218311,0.0,0.999999999990909,break of day,the first light of day,i116932
it,0.08371641523496633,1,0.003348908886304627,0.003348908886304627,0.0033489088863046276,0.46435758056433896,0.46435758056433896,0,0,"break of day, first light, morning",0,7,26,5.333333333333333,0.36233333333333334,1.0616666666666668e-05,5.666666666666667,0.2380952380935374,0.36233333333333334,0.268817204299341,0.010045080917096182,0.0,0.5454545454495868,break of day,the first light of day,i116932
es,0.08868908913861098,1,0.0032277864445248695,0.0032277864445248695,0.00322778644452487,0.4275195843704854,0.4275195843704854,0,0,"break of day, first light, morning",0,2,4,6.0,0.194,1.91e-05,2.0,0.33333333333055554,0.194,0.0769230769224852,0.022297096106355233,0.0,0.24999999999375,break of day,the first light of day,i116932
nb,0.0,1,0.0029927874583446866,0.0029927874583446866,0.002992787458344687,0.3519282067954406,0.3519282067954406,0,0,"break of day, first light, morning",0,1,1,6.0,0.828,1.29e-06,1.0,0.3749999999953125,0.828,0.0,0.0017812171125177142,0.0,0.0,break of day,the first light of day,i116932
en,0.9999999998847348,4,0.004007519217622035,0.004007519217622035,0.004007519217622036,0.6438953942658354,0.6438953942658354,0,1,"twilight, fall, dusk",1,9,22,5.333333333333333,0.26899999999999996,4.812e-05,5.333333333333333,0.23333333333099998,0.26899999999999996,0.6190476190387755,0.09926541815196775,0.0049999999999975,0.7272727272661157,twilight,the time of day immediately following sunset,i116935
it,0.0,1,0.0027512808914050137,0.0027512808914050137,0.002751280891405014,0.2677895752916437,0.2677895752916437,0,0,"twilight, fall, dusk",0,2,4,9.5,0.7925,1.034e-06,2.0,0.5357142857104592,0.7925,0.03225806451592091,0.0,0.0,0.09090909090826446,twilight,the time of day immediately following sunset,i116935
es,0.0,1,0.002604962156338059,0.002604962156338059,0.0026049621563380594,0.21314114114401905,0.21314114114401905,0,0,"twilight, fall, dusk",1,3,6,9.666666666666666,0.7786666666666667,1.6299999999999999e-06,2.0,0.6388888888835648,0.7786666666666667,0.0769230769224852,0.0,0.02702702702695398,0.4999999999875,twilight,the time of day immediately following sunset,i116935
