Language,basicness_score_experimental,basicness_rank,basicness_score,word_in_children_res,word_in_second_lang_learn_res,en_lemmas,n_hyponyms,n_synonyms,n_syn_senses,avg_word_length,avg_pronounce_complexity,avg_word_frequency,avg_n_senses,normalized_length,normalized_pronounce_complexity,normalized_n_senses,normalized_frequency,normalized_n_hyponyms,normalized_n_synonyms,normalized_n_syn_senses,example_en_lemma,example_en_gloss,ili
nb,0.9322999026678425,4,0.47084877806581593,1,1,"rosebush, rose",0,1,1,4.0,0.466,2.19e-05,1.0,0.12499999999998437,0.466,0.0,0.0315669292873802,0.0,0.0,0.0,rosebush,any of many shrubs of the genus Rosa that bear roses,i103203
en,0.783131698978877,4,0.10192157308163041,0,0,"rosebush, rose",11,2,4,6.0,0.48650000000000004,3.307945e-05,2.0,0.29999999999997,0.48650000000000004,0.14285714285712245,0.06588724159275816,0.05499999999999973,0.09090909090908264,0.14285714285713608,rosebush,any of many shrubs of the genus Rosa that bear roses,i103203
es,0.7329159199578152,4,0.15930374055899865,0,0,"rosebush, rose",0,1,5,4.0,0.186,5.13e-05,5.0,0.16666666666665278,0.186,0.307692307692284,0.06339421313908665,0.0,0.0,0.2857142857142653,rosebush,any of many shrubs of the genus Rosa that bear roses,i103203
it,0.7212310441973205,4,0.10376602810283685,0,0,"rosebush, rose",5,2,10,5.0,0.1925,3.30699e-05,5.0,0.21428571428569898,0.1925,0.22580645161288865,0.03358180476706528,0.06849315068493057,0.09090909090908264,0.12499999999999806,rosebush,any of many shrubs of the genus Rosa that bear roses,i103203
en,0.9613439441137807,4,0.6508759325324873,0,1,wood,91,1,8,4.0,0.199,6.03e-05,8.0,0.09999999999999,0.199,0.9999999999998571,0.12629546586561446,0.45499999999999774,0.0,0.3333333333333175,wood,the hard fibrous lignified substance under the bark of trees,i116549
nb,0.8370505513745479,4,0.045734916454975544,0,0,wood,0,1,2,3.0,0.442,0.000692,2.0,0.0,0.442,0.11111111111109877,0.9999999985547933,0.0,0.0,0.08333333333332639,wood,the hard fibrous lignified substance under the bark of trees,i116549
it,0.7865303605800529,4,0.16799302288016377,0,0,wood,44,2,5,6.0,0.1875,2.5725e-05,2.5,0.2857142857142653,0.1875,0.0645161290322539,0.025882473771725117,0.602739726027389,0.09090909090908264,0.04687499999999927,wood,the hard fibrous lignified substance under the bark of trees,i116549
es,0.7692035826097283,4,0.16719214689374248,0,0,wood,12,1,3,6.0,0.189,4.9e-05,3.0,0.33333333333330556,0.189,0.153846153846142,0.06045870498084426,0.3243243243243155,0.0,0.14285714285713266,wood,the hard fibrous lignified substance under the bark of trees,i116549
nb,0.9170882709888016,4,0.23722783150423396,0,1,midnight,0,1,1,7.0,0.884,1.35e-05,1.0,0.4999999999999375,0.884,0.0,0.01942719226030025,0.0,0.0,0.0,midnight,12 o'clock at night; the middle of the night,i116927
it,0.8173361408491775,4,0.018548186919932756,0,0,midnight,0,1,3,10.0,0.797,1.78e-05,3.0,0.5714285714285307,0.797,0.09677419354838085,0.017575049826120584,0.0,0.0,0.015624999999999757,midnight,12 o'clock at night; the middle of the night,i116927
es,0.8072553002973554,4,0.00093758868119768,0,0,midnight,0,1,1,10.0,0.758,7.59e-06,1.0,0.6666666666666111,0.758,0.0,0.007606795053532444,0.0,0.0,0.0,midnight,12 o'clock at night; the middle of the night,i116927
en,0.7641825711965818,4,0.0016452406024723208,0,0,midnight,0,1,1,8.0,0.638,2.04e-05,1.0,0.49999999999995,0.638,0.0,0.03774882928086632,0.0,0.0,0.0,midnight,12 o'clock at night; the middle of the night,i116927
en,0.9972346451740082,4,0.9999999999997663,1,1,"break of day, first light, morning",0,12,21,10.0,0.711,0.00017533333333333333,2.0,0.69999999999993,0.711,0.14285714285712245,0.38157904385556085,0.0,0.9999999999999091,0.9523809523809071,break of day,the first light of day,i116932
it,0.8581179403661059,4,0.25158167860124553,0,0,"break of day, first light, morning",0,7,26,5.333333333333333,0.36233333333333334,1.0616666666666668e-05,5.666666666666667,0.23809523809522107,0.36233333333333334,0.26881720430105793,0.01004508195954739,0.0,0.5454545454544959,0.37499999999999417,break of day,the first light of day,i116932
nb,0.7693742432694973,4,0.000130086094803333,0,0,"break of day, first light, morning",0,1,1,6.0,0.828,1.29e-06,1.0,0.37499999999995315,0.828,0.0,0.0017812173673661935,0.0,0.0,0.0,break of day,the first light of day,i116932
es,0.7485397199140378,4,0.14518902947567314,0,0,"break of day, first light, morning",0,2,4,6.0,0.194,1.91e-05,2.0,0.33333333333330556,0.194,0.076923076923071,0.02229709892369325,0.0,0.2499999999999375,0.21428571428569898,break of day,the first light of day,i116932
en,0.9811630653836766,4,0.7832788380230404,0,1,"dusk, twilight, fall",1,9,22,5.333333333333333,0.26899999999999996,4.812e-05,5.333333333333333,0.23333333333330997,0.26899999999999996,0.6190476190475306,0.0992654399607966,0.004999999999999975,0.7272727272726611,0.9999999999999525,dusk,the time of day immediately following sunset,i116935
es,0.9151845886028677,4,0.2572160383915286,0,0,"dusk, twilight, fall",1,3,6,9.666666666666666,0.7786666666666667,1.6299999999999999e-06,2.0,0.6388888888888355,0.7786666666666667,0.076923076923071,0.0,0.027027027027026296,0.499999999999875,0.3571428571428316,dusk,the time of day immediately following sunset,i116935
nb,0.8378068940709388,4,0.0,0,0,"dusk, twilight, fall",0,1,1,9.0,0.892,5.75e-08,1.0,0.7499999999999063,0.892,0.0,0.0,0.0,0.0,0.0,dusk,the time of day immediately following sunset,i116935
it,0.814969715374185,4,0.025957826373846162,0,0,"dusk, twilight, fall",0,2,4,9.5,0.7925,1.034e-06,2.0,0.5357142857142474,0.7925,0.03225806451612695,0.0,0.0,0.09090909090908264,0.031249999999999514,dusk,the time of day immediately following sunset,i116935
en,0.9775689655181307,4,0.43606494678818375,0,1,"time of year, season",8,2,4,9.0,0.758,0.000454,2.0,0.59999999999994,0.758,0.14285714285712245,0.9999999977807861,0.0399999999999998,0.09090909090908264,0.14285714285713608,time of year,one of the natural periods into which the year is divided by the equinoxes and solstices or atmospheric conditions,i117307
it,0.9441744269501077,4,0.3129334248951453,0,1,"time of year, season",11,1,5,8.0,0.842,0.000129,5.0,0.42857142857139796,0.842,0.22580645161288865,0.13414104891144857,0.15068493150684725,0.0,0.04687499999999927,time of year,one of the natural periods into which the year is divided by the equinoxes and solstices or atmospheric conditions,i117307
es,0.9435453911011238,4,0.3918955859036382,0,1,"time of year, season",5,1,3,8.0,0.804,6.46e-05,3.0,0.4999999999999583,0.804,0.153846153846142,0.08036910814109698,0.13513513513513148,0.0,0.14285714285713266,time of year,one of the natural periods into which the year is divided by the equinoxes and solstices or atmospheric conditions,i117307
nb,0.9036362731232785,4,0.23530675957404276,0,0,"time of year, season",5,1,1,6.0,0.862,9.55e-07,1.0,0.37499999999995315,0.862,0.0,0.0012970730930719342,0.9999999999997999,0.0,0.0,time of year,one of the natural periods into which the year is divided by the equinoxes and solstices or atmospheric conditions,i117307
nb,0.9636077331499749,4,0.48021434675679325,1,1,"summer, summertime",0,1,1,6.0,0.754,0.000102,1.0,0.37499999999995315,0.754,0.0,0.14732799308132108,0.0,0.0,0.0,summer,the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox,i117310
en,0.9586582160375774,4,0.5306260080021881,1,1,"summer, summertime",0,2,3,8.0,0.203,8.589e-05,1.5,0.49999999999995,0.203,0.07142857142856122,0.18308515083312588,0.0,0.09090909090908264,0.09523809523809071,summer,the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox,i117310
it,0.957646503136118,4,0.4382731263664868,1,1,"summer, summertime",0,1,2,6.0,0.729,6.92e-05,2.0,0.2857142857142653,0.729,0.03225806451612695,0.07145537674146103,0.0,0.0,0.0,summer,the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox,i117310
es,0.933542222378034,4,0.5373032957465629,1,1,"summer, summertime",0,1,1,6.0,0.2,8.71e-05,1.0,0.33333333333330556,0.2,0.0,0.10908603577607684,0.0,0.0,0.0,summer,the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox,i117310
nb,0.9950818277955339,4,0.9999999999997647,1,1,"celebration, festivity",1,3,13,5.666666666666667,0.6749999999999999,4.47e-05,4.333333333333333,0.3333333333332917,0.6749999999999999,0.37037037037032916,0.06451764407516862,0.19999999999996,0.6666666666664445,0.9999999999999166,celebration,any joyous diversion,i37653
es,0.8902569617264512,4,0.19822331293023443,0,0,"celebration, festivity",3,2,5,9.0,0.7585,1.6795e-05,2.5,0.5833333333332847,0.7585,0.11538461538460651,0.019355209225976427,0.08108108108107888,0.2499999999999375,0.2857142857142653,celebration,any joyous diversion,i37653
en,0.8656023419509065,4,0.09674858551748217,0,0,"celebration, festivity",7,2,4,10.0,0.7364999999999999,9.923499999999999e-06,2.0,0.69999999999993,0.7364999999999999,0.14285714285712245,0.014499234339008822,0.03499999999999982,0.09090909090908264,0.14285714285713608,celebration,any joyous diversion,i37653
it,0.820743242266757,4,0.05958442381160812,0,0,"celebration, festivity",3,2,7,9.75,0.65575,5.96175e-06,3.0,0.5535714285713891,0.65575,0.09677419354838085,0.005165540485546088,0.04109589041095835,0.09090909090908264,0.07812499999999879,celebration,any joyous diversion,i37653
it,0.9759325077999362,4,0.556034670025888,1,1,"association football, soccer",0,3,14,7.0,0.7166666666666667,5.36e-05,4.666666666666667,0.3571428571428316,0.7166666666666667,0.20430107526880403,0.055102592697116475,0.0,0.18181818181816528,0.18749999999999709,association football,a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal,i37904
nb,0.9741425341516896,4,0.49896172423956836,1,1,"association football, soccer",0,1,1,7.0,0.84,0.0002,1.0,0.4999999999999375,0.84,0.0,0.2889582583972537,0.0,0.0,0.0,association football,a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal,i37904
es,0.9653562546057725,4,0.5841254378981198,1,1,"association football, soccer",0,1,2,6.0,0.701,0.000115,2.0,0.33333333333330556,0.701,0.076923076923071,0.14469502604345186,0.0,0.0,0.07142857142856633,association football,a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal,i37904
en,0.8706550205595104,4,0.045353183364391605,0,0,"association football, soccer",0,2,2,13.0,0.679,4.36e-05,1.0,0.9999999999999,0.679,0.0,0.08923459290909082,0.0,0.09090909090908264,0.047619047619045354,association football,a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal,i37904
en,0.9697284087839204,4,0.515240878008639,0,1,"sport, athletics",20,2,10,7.0,0.8165,3.0155e-05,5.0,0.39999999999996,0.8165,0.5714285714284898,0.05939726135816502,0.0999999999999995,0.09090909090908264,0.4285714285714082,sport,an active diversion requiring physical exertion and competition,i38140
nb,0.944257636703166,4,0.3844417280193034,0,1,"sport, athletics",1,2,2,5.5,0.8320000000000001,4.7449999999999995e-05,1.0,0.3124999999999609,0.8320000000000001,0.0,0.06849196274474835,0.19999999999996,0.33333333333322224,0.08333333333332639,sport,an active diversion requiring physical exertion and competition,i38140
it,0.9146539821318929,4,0.28014228408409014,0,1,"sport, athletics",20,1,2,5.0,0.759,8.91e-05,2.0,0.21428571428569898,0.759,0.03225806451612695,0.09231565895187495,0.2739726027397223,0.0,0.0,sport,an active diversion requiring physical exertion and competition,i38140
es,0.885916618276676,4,0.3666387273257424,0,1,"sport, athletics",8,1,2,7.0,0.208,4.9e-05,2.0,0.41666666666663194,0.208,0.076923076923071,0.06045870498084426,0.21621621621621037,0.0,0.07142857142856633,sport,an active diversion requiring physical exertion and competition,i38140
es,0.9879469530603334,4,0.7719886548600807,0,1,"hog, squealer, pig",1,5,10,4.666666666666667,0.38599999999999995,0.00078514,2.6666666666666665,0.22222222222220372,0.38599999999999995,0.12820512820511834,0.9999999987236922,0.027027027027026296,0.99999999999975,0.6428571428570969,hog,domestic swine,i48199
it,0.8966446724517302,4,0.298252989258113,0,1,"hog, squealer, pig",0,3,10,6.5,0.42974999999999997,6.48675e-06,3.0,0.32142857142854847,0.42974999999999997,0.09677419354838085,0.005715874563961531,0.0,0.18181818181816528,0.12499999999999806,hog,domestic swine,i48199
en,0.8826111662330268,4,0.32981240938197764,0,0,"hog, squealer, pig",1,5,15,4.666666666666667,0.429,5.855233333333334e-06,3.6666666666666665,0.16666666666665003,0.429,0.38095238095232653,0.005470880202087068,0.004999999999999975,0.36363636363633056,0.666666666666635,hog,domestic swine,i48199
nb,0.8786791604685081,4,0.2812561698147152,0,1,"hog, squealer, pig",0,1,2,4.0,0.644,1.15e-05,2.0,0.12499999999998437,0.644,0.11111111111109877,0.016536778682424074,0.0,0.0,0.08333333333332639,hog,domestic swine,i48199
en,0.956979738779176,4,0.6155746001301947,1,1,fish,13,1,4,4.0,0.197,7.94e-05,4.0,0.09999999999999,0.197,0.4285714285713673,0.16868245230091997,0.06499999999999968,0.0,0.14285714285713608,fish,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills,i48880
nb,0.9422147927474344,4,0.5170177741596526,1,1,fish,0,1,2,4.0,0.398,5.13e-05,2.0,0.12499999999998437,0.398,0.11111111111109877,0.07405600888215999,0.0,0.0,0.08333333333332639,fish,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills,i48880
es,0.8983064088370755,4,0.3977868797363163,1,0,fish,2,2,3,4.5,0.477,7.7734e-06,1.5,0.20833333333331597,0.477,0.0384615384615355,0.007840869921454902,0.05405405405405259,0.2499999999999375,0.14285714285713266,fish,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills,i48880
it,0.8542888529179061,4,0.2789017347580601,1,0,fish,3,1,5,5.0,0.199,4.07e-05,5.0,0.21428571428569898,0.199,0.22580645161288865,0.041580098198908455,0.04109589041095835,0.0,0.04687499999999927,fish,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills,i48880
es,0.9894969761802193,4,0.9999999999997322,1,1,boat,8,3,12,6.666666666666667,0.40599999999999997,1.5689999999999997e-05,4.0,0.3888888888888565,0.40599999999999997,0.23076923076921302,0.01794488900212519,0.21621621621621037,0.499999999999875,0.7857142857142296,boat,a small vessel for travel on water,i50885
en,0.9387047548016335,4,0.5414819372486414,1,1,boat,26,1,2,4.0,0.202,5.13e-05,2.0,0.09999999999999,0.202,0.14285714285712245,0.10632254032018255,0.12999999999999937,0.0,0.047619047619045354,boat,a small vessel for travel on water,i50885
nb,0.9355546365306621,4,0.5644995402443068,1,1,boat,2,1,1,3.0,0.203,5.01e-05,1.0,0.0,0.203,0.0,0.07232176073543428,0.39999999999992,0.0,0.0,boat,a small vessel for travel on water,i50885
it,0.9173029512467404,4,0.3516281870696891,1,0,boat,19,3,9,6.666666666666667,0.4163333333333334,8.995666666666666e-06,3.0,0.33333333333330956,0.4163333333333334,0.09677419354838085,0.008345859976477993,0.26027397260273616,0.18181818181816528,0.1093749999999983,boat,a small vessel for travel on water,i50885
en,0.984148111895323,4,0.7017217399848431,0,1,"bus, coach, passenger vehicle",3,10,18,8.333333333333334,0.49666666666666665,5.856666666666666e-05,3.3333333333333335,0.53333333333328,0.49666666666666665,0.33333333333328574,0.1224488283531609,0.014999999999999925,0.8181818181817438,0.809523809523771,bus,a vehicle carrying many passengers; used for public transport,i51285
es,0.8448382437314798,4,0.28263841913215604,0,1,"bus, coach, passenger vehicle",2,1,1,7.0,0.2,2.04e-05,1.0,0.41666666666663194,0.2,0.0,0.023956299187047645,0.05405405405405259,0.0,0.0,bus,a vehicle carrying many passengers; used for public transport,i51285
