lemma,ilis
tea,"['i79002', 'i79004', 'i76570', 'i80512', 'i104706']"
monarchy,['i81063']
pub,['i57748']
cricket,"['i37895', 'i47220']"
biscuit,"['i76995', 'i77411']"
countryside,['i82392']
toast,"['i78672', 'i77362']"
rain,"['i98034', 'i116026']"
fog,"['i113314', 'i97801']"
umbrella,['i60698']
fish,"['i48880', 'i77942']"
chips,['i77517']
roast,['i76601']
pancake,['i77033']
pound,"['i72276', 'i108693', 'i108755']"
cab,['i51329']
bus,['i51285']
cottage,['i51254']
daffodil,['i102276']
football,"['i37873', 'i53951']"
soccer,['i37904']
king,['i90847']
queen,['i92395']
sword,['i59896']
kingdom,"['i113279', 'i81956', 'i82126', 'i81273']"
castle,"['i51625', 'i56917']"
prince,['i92240']
crown,"['i72677', 'i52549']"
rugby,['i37878']
theater,"['i73479', 'i60163']"
hedgerow,['i54757']
postbox,['i57583']
beer,['i78683']
pint,"['i108268', 'i108276', 'i108262']"
pie,['i76921']
shepherd,"['i92934', 'i92924']"
scone,['i77390']
jam,['i77052']
pudding,"['i76860', 'i76829', 'i76828']"
peony,['i98923']
bluebell,"['i100452', 'i101640']"
primrose,['i100692']
stag,"['i48407', 'i48413']"
badger,['i48510']
abbey,"['i49766', 'i49765', 'i49767']"
breakfast,['i76564']
weather,['i98170']
garden,"['i54178', 'i54179', 'i81475']"
knight,['i55427']
inn,['i54942']
fox,['i46575']
rose,['i103203']
kettle,['i55356']
