lemma,ilis
festival,['i116891']
bullfight,['i51237']
siesta,['i39911']
guitar,['i54496']
cathedral,"['i51645', 'i51646']"
carnival,['i38116']
vineyard,['i60863']
ham,['i77246']
sun,"['i86272', 'i97951', 'i86273']"
sea,['i86143']
wine,['i78715']
dance,"['i37654', 'i73564', 'i75856']"
artist,['i88315']
saint,"['i92687', 'i92688']"
monastery,['i56337']
pottery,"['i57608', 'i38632']"
castle,['i56917']
saffron,"['i102251', 'i63082']"
oil,['i115790']
soccer,['i37904']
sunrise,"['i98125', 'i116932']"
almond,['i77782']
citrus,['i77760']
shepherd,"['i92934', 'i92924']"
cheese,['i78427']
tapestry,['i60011']
statue,['i59503']
dancer,['i89381']
terrace,"['i57055', 'i86306']"
courtyard,['i52436']
convent,['i52313']
donkey,"['i48163', 'i72659']"
mosaic,"['i56381', 'i68004', 'i56382']"
fisherman,['i89974']
sailor,['i88605']
pastry,"['i76902', 'i76903']"
chapel,['i51779']
grape,"['i77835', 'i105723']"
valley,['i86379']
orchard,['i54471']
beach,['i85058']
family,['i79200']
bean,['i77610']
pig,['i48199']
