lemma,ilis
pasta,['i77445']
pizza,['i78596']
opera,['i73576']
coffee,"['i78980', 'i103415', 'i63124', 'i78981']"
espresso,['i78910']
art,"['i40314', 'i50178', 'i66548']"
fashion,['i67121']
history,"['i68917', 'i116663', 'i68923', 'i116675']"
party,"['i91878', 'i80500', 'i75850', 'i80565', 'i80527']"
architecture,['i50129']
sculpture,"['i58585', 'i40330']"
painting,"['i56911', 'i40324']"
literature,"['i68975', 'i69925', 'i69924']"
tradition,"['i67410', 'i66700']"
culture,"['i80699', 'i68274', 'i67128']"
cuisine,['i76543']
wine,['i78715']
cheese,['i78427']
olive,"['i77889', 'i101682', 'i101683']"
cooking,['i36683']
music,"['i66962', 'i73566', 'i38249']"
dance,"['i37654', 'i73564', 'i75856']"
church,"['i79691', 'i51914']"
religion,"['i68078', 'i79689']"
pope,['i92133']
agriculture,"['i40225', 'i41187']"
mountain,['i85815']
coast,"['i86148', 'i68014']"
village,"['i82515', 'i80343']"
family,"['i79671', 'i80348', 'i79200', 'i79199', 'i90858']"
festival,['i38106']
celebration,"['i75870', 'i38097', 'i37653']"
romance,"['i64336', 'i110153', 'i69959']"
poetry,['i73924']
heritage,"['i35846', 'i66712', 'i62843', 'i106351']"
design,"['i52808', 'i40288', 'i67858', 'i66512']"
tailor,['i93526']
leather,['i114554']
philosophy,"['i68928', 'i68068']"
nature,"['i86562', 'i61372']"
farm,['i53601']
fish,"['i48880', 'i77942']"
soccer,['i37904']
oil,['i115790']
bread,['i77313']
meat,['i77100']
tomato,"['i104588', 'i77675']"
basil,"['i78196', 'i104377']"
sea,"['i86143', 'i98149']"
sun,"['i86272', 'i97951', 'i86273']"
summer,['i117310']
guest,"['i90351', 'i90350']"
warmth,"['i61397', 'i76412', 'i61390', 'i66998', 'i63365']"
charm,['i61685']
elegance,['i62293']
artisan,['i89293']
monument,"['i82176', 'i56131']"
garden,"['i54178', 'i54179']"
peace,"['i110347', 'i110351', 'i76250']"
leisure,['i116748']
sunset,"['i75284', 'i116934']"
