lemma,ilis
coffee,['i78981']
art,['i40314']
fashion,['i67121']
history,['i68917']
party,"['i91878', 'i80500', 'i75850', 'i80527']"
sculpture,['i58585']
painting,['i56911']
tradition,['i66700']
culture,['i80699']
wine,['i78715']
cheese,['i78427']
music,['i73566']
church,['i51914']
religion,['i68078']
agriculture,['i40225']
mountain,['i85815']
coast,['i86148']
village,['i80343']
family,"['i79671', 'i79200']"
celebration,['i37653']
poetry,['i73924']
design,['i52808']
leather,['i114554']
philosophy,['i68928']
nature,['i86562']
farm,['i53601']
fish,"['i48880', 'i77942']"
soccer,['i37904']
bread,['i77313']
meat,['i77100']
sea,['i86143']
sun,"['i86272', 'i97951']"
summer,['i117310']
guest,['i90350']
warmth,['i61397']
charm,['i61685']
monument,['i56131']
peace,"['i110351', 'i76250']"
