lemma,ilis
salmon,['i49007']
snow,['i98073']
ski,['i58996']
mountain,['i85815']
nature,"['i86562', 'i85848']"
midnight,['i116927']
aurora,['i116932']
ice,['i115475']
whale,['i46242']
forest,['i85418']
lake,['i85647']
berry,['i77735']
harbor,['i82357']
sheep,['i48291']
wood,['i116549']
storm,['i97824']
ocean,['i85897']
boat,['i50885']
village,['i80343']
river,['i86078']
cabin,['i51337']
king,['i90847']
crown,['i52549']
countryside,['i82392']
island,['i85597']
cheese,['i78427']
festival,['i38106']
dawn,['i116932']
twilight,['i116935']
cliff,['i85222']
wave,['i75330']
cave,['i85180']
waterfall,['i86414']
winter,['i117312']
sport,['i38140']
season,"['i117323', 'i117324', 'i117307']"
cloud,['i85226']
