lemma,ilis
behalf,"['i39226', 'i64014']"
room,"['i58265','i64140']"
american,"['i87891', 'i73105', 'i87890']"
place,"['i82501','i81787','i81964','i82294']"
chocolate,"['i78929','i76751']"
argument,"['i71419','i74403','i74188']"
network,"['i81445','i56572']"
mistake,"['i35783', 'i67829', 'i72062']"
hour,"['i117257','i117260']"
position,"['i82294','i63690']"
distribution,"['i63731','i41082']"
television,"['i60084','i60090']"
accident,"['i75057', 'i75056']"
pair,"['i79244','i109099']"
bike,"['i56397', 'i50735']"
party,"['i80500','i80565','i75850']"
journey,['i37014']
football,"['i37873', 'i53951']"
run,"['i36946','i75920','i36409','i37028']"
boy,"['i91171','i93143']"
addition,"['i37324','i106298','i39978']"
desk,['i52811']
teacher,['i93557']
heart,"['i65294','i67941']"
initiative,['i36661']
magazine,"['i71119','i55910']"
europe,"['i85374','i80096']"
advice,['i71545']
permission,['i71636']
saturday,['i116905']
nose,"['i66329','i56633']"
protection,"['i39702','i57729']"
technology,"['i40396', 'i68798']"
division,"['i37431','i37497']"
message,"['i69368', 'i71140']"
capacity,"['i64313','i113363','i109322']"
exception,"['i66903','i67471']"
job,"['i38458','i39217']"
sport,"['i38140','i37672']"
china,['i82738']
deal,"['i41217','i72070']"
mountain,['i85815']
baby,"['i88382','i88383','i42295']"
radio,"['i69498', 'i57905', 'i57892']"
price,"['i106591','i64117']"
question,['i74460']
daughter,['i89398']
hole,"['i85530','i54850','i110048']"
host,"['i90580','i81620','i90577']"
chicken,"['i77065','i44707']"
girl,"['i90206','i89923','i89398']"
village,"['i80343','i82515']"
publication,"['i71085','i41182','i41174']"
appointment,['i81169']
branch,"['i105840','i110063','i85120']"
technique,"['i66689', 'i66573']"
path,"['i57052','i82265','i85949']"
surface,"['i59827','i82479']"
centre,"['i81841','i81833']"
nothing,['i109082']
block,"['i50851','i82373','i110067','i38347','island','i85597']"
strategy,"['i67874', 'i69348']"
sausage,['i77287']
salt,['i78175']
fish,"['i48880','i77942']"
emergency,['i75691']
requirement,"['i67810','i67809']"
person,"['i35562','i64384']"
woman,"['i94168','i94169']"
island,"['i85597', 'i55197']"
committee,"['i80878', 'i80883']"
egg,"['i42980','i78362']"
corner,"['i81885','i81884','i52370','i52372']"
window,"['i61169','i61170','i61171','i61173']"
daddy,['i89370']
example,"['i68036','i67970','i75102']"
grandma,['i90289']
rule,"['i58340','i67597','i71439']"
importance,"['i64140', 'i112863']"
stage,"['i117602','i110200','i59439']"
jam,['i77052']
abbey,['i49765']
garden,['i81475']
castle,['i51625']
cricket,['i37895']
pie,['i76921']
bluebell,['i100452']
tea,['i104706']
roast,['i76601']
peony,['i98923']
chips,['i77517']
football,['i53951']
pint,['i108268']
pound,['i108755']
postbox,['i57583']
pub,['i57748']
biscuit,['i77411']
stag,['i48413']
fog,['i113314']
rugby,['i37878']
