lemma,ilis
position,"['i82294','i63690']"
picture,"['i57243','i56911','i73441']"
song,"['i73707','i75556']"
village,"['i80343','i82515']"
party,"['i80500','i80565','i75850']"
capacity,"['i64313','i113363','i109322']"
path,"['i57052','i82265','i85949']"
baby,"['i88382','i88383','i42295']"
branch,"['i105840','i110063','i85120']"
permission,['i71636']
hour,"['i117257','i117260']"
nose,"['i66329','i56633']"
run,"['i36946','i75920','i36409','i37028']"
chicken,"['i77065','i44707']"
writing,"['i40296','i38649']"
magazine,"['i71119','i55910']"
china,['i82738']
publication,"['i71085','i41182','i41174']"
distribution,"['i63731','i41082']"
question,['i74460']
stuff,"['i59722','i106283']"
night,"['i116919','i116921','i116859','i116920']"
network,"['i81445','i56572']"
bed,['i50635']
girl,"['i90206','i89923','i89398']"
hole,"['i85530','i54850','i110048']"
teacher,['i93557']
price,"['i106591','i64117']"
division,"['i37431','i37497']"
god,"['i86771','i86570']"
television,"['i60084','i60090']"
boy,"['i91171','i93143']"
rule,"['i58340','i67597','i71439']"
pair,"['i79244','i109099']"
mountain,['i85815']
sport,"['i38140','i37672']"
centre,"['i81841','i81833']"
rate,"['i117586','i109511']"
appointment,['i81169']
argument,"['i71419','i74403','i74188']"
europe,"['i85374','i80096']"
egg,"['i42980','i78362']"
heart,"['i65294','i67941']"
salt,['i78175']
chocolate,"['i78929','i76751']"
place,"['i82501','i81787','i81964','i82294']"
requirement,"['i67810','i67809']"
protection,"['i39702','i57729']"
window,"['i61169','i61170','i61171','i61173']"
deal,"['i41217','i72070']"
fish,"['i48880','i77942']"
measure,"['i35594','i40622']"
course,"['i40043','i80413']"
room,"['i58265','i64140']"
sausage,['i77287']
addition,"['i37324','i106298','i39978']"
block,"['i50851','i82373','i110067','i38347','i85597']"
example,"['i68036','i67970','i75102']"
corner,"['i81885','i81884','i52370','i52372']"
stage,"['i117602','i110200','i59439']"
skin,"['i64482','i59011','i45286']"
woman,"['i94168','i94169']"
host,"['i90580','i81620','i90577']"
quarter,"['i109059','i117429','i117298','i117132']"
surface,"['i59827','i82479']"
job,"['i38458','i39217']"
exception,"['i66903','i67471']"
emergency,['i75691']
person,"['i35562','i64384']"
initiative,['i36661']
american,"['i87891', 'i73105', 'i87890']"
writer,"['i94200', 'i94201']"
saturday,['i116905']
accident,"['i75057', 'i75056']"
definition,"['i71937', 'i61771']"
grandma,['i90289']
journey,['i37014']
football,"['i37873', 'i53951']"
technique,"['i66689', 'i66573']"
committee,"['i80878', 'i80883']"
mistake,"['i35783', 'i67829', 'i72062']"
daughter,['i89398']
october,['i117170']
behalf,"['i39226', 'i64014']"
garden,"['i54178', 'i81475', 'i54179']"
technology,"['i40396', 'i68798']"
germany,['i82954']
clock,['i52025']
desk,['i52811']
nothing,['i109082']
bike,"['i56397', 'i50735']"
partner,"['i93233', 'i89069', 'i91875']"
holiday,"['i116749', 'i117003']"
message,"['i69368', 'i71140']"
importance,"['i64140', 'i112863']"
radio,"['i69498', 'i57905', 'i57892']"
advice,['i71545']
island,"['i85597', 'i55197']"
daddy,['i89370']
strategy,"['i67874', 'i69348']"
