lemma,ilis
joven,"['i91171','i90206','i89923','i94223']"
norte,"['i109589','i81986']"
dinero,"['i107057','i107058']"
astucia,"['i62612','i62613','i39392']"
teléfono,"['i60065','i69469']"
habla,"['i74130','i73859','i66617']"
mono,"['i48648','i56826']"
circuito,"['i57875','i57872','i37041']"
combate,"['i40454','i37749','i41538']"
mes,"['i117131','i117150']"
estupidez,['i66587']
extremo,"['i81999','i82013','i82014']"
teclado,['i52242']
reverencia,['i76277']
barba,['i64611']
porqué,"['i84881','i71917']"
dormitorio,['i50650']
tribu,"['i81104','i79196']"
taco,"['i74102','i78649']"
ruta,"['i82265','i67875','i37052']"
imperio,"['i79524','i81274']"
chimenea,"['i51847','i53746']"
invasión,"['i40513','i39287']"
baño,"['i36749','i50559','i60333','i37723']"
clima,['i113304']
peso,"['i63417','i61069','i108928']"
júbilo,['i76312']
h,['i117257']
tía,"['i88357','i89378']"
asiento,"['i58609','i82412','i58608']"
trabajo,"['i110340','i38449','i61259','i38467']"
todo,['i67718']
galería,"['i58420','i60816','i54146','i54145']"
arte,"['i50178','i40314','i66548']"
turista,['i93703']
museo,['i56456']
papaya,['i98806']
escultor,['i92801']
norteamericano,['i87891']
lana,"['i116579', 'i45310', 'i61244']"
esquina,"['i82477', 'i81885', 'i52370']"
puerco,['i48199']
comprimido,['i57275']
país,"['i80773', 'i80079', 'i81672', 'i81888']"
vino,['i78715']
cápsula,['i70447']
barreño,['i50265']
verano,['i117310']
monasterio,['i56337']
cráter,['i85280']
cubista,['i89333']
pesca,"['i37799', 'i37800']"
compositor,['i89134']
autovía,['i53529']
túnel,['i60637']
cincuenta,['i107125']
contrarrevolucionario,['i89260']
cantante,['i93005']
interrupción,['i75412']
ladrón,"['i49829', 'i93630']"
venado,"['i48406', 'i48407']"
desesperación,"['i61566', 'i113128', 'i76387']"
cumpleaños,"['i117401', 'i117384']"
exclamación,"['i74104', 'i73986']"
ronda,['i71654']
vendimia,['i78716']
muchacho,"['i88670', 'i91171', 'i94223']"
pescado,"['i48883', 'i77942']"
aritmética,['i68343']
mulato,['i87274']
malicia,['i61504']
recto,['i66020']
excavación,"['i40257', 'i40355', 'i81910', 'i53506']"
arbusto,['i105591']
alcantarillado,['i115130']
altiplano,['i86288']
gastroenteritis,['i111370']
admirador,"['i88948', 'i80325', 'i88086']"
salchicha,['i77287']
guanaco,['i48457']
queso,['i78427']
fábrica,"['i53564', 'i57398']"
carril,['i55526']
amnistia,['i70899']
lucidez,['i112569']
saludo,"['i71323', 'i71335']"
enfermera,['i91672']
ascensor,['i53387']
credo,"['i68078', 'i68146']"
tonalidad,"['i63205', 'i72552']"
valle,['i86379']
cuñado,['i88712']
mote,['i69780']
micrófono,['i56215']
sillín,['i50741']
proclamación,['i71848']
descuento,['i106690']
cañaveral,['i81461']
dos,['i70970']
balneario,"['i58112', 'i82548']"
