lemma,ilis
norma,"['i67332', 'i37579', 'i109732']"
argomento,"['i71419', 'i71142', 'i71140']"
percentuale,['i109515']
base,"['i50499', 'i109973', 'i54003']"
ora,"['i117260', 'i116704', 'i117257']"
criterio,"['i67968', 'i67915']"
osservazione,"['i66921', 'i66882']"
categoria,['i67558']
obbligo,['i41323']
classe,"['i51976', 'i79319']"
macchina,"['i51496', 'i55888']"
palazzo,"['i55888', 'i51221']"
gente,"['i48658', 'i80034', 'i79059']"
scontro,"['i75256', 'i40416']"
bando,['i71953']
innovazione,['i36789']
creazione,"['i52486', 'i40180']"
elenco,['i70513']
garanzia,"['i71618', 'i71622']"
viaggio,['i37014']
letteratura,"['i69925', 'i68975']"
presa,['i39677']
babbo,['i89370']
livello,['i63762']
nota,"['i72562', 'i70636']"
traccia,['i71406']
musica,"['i66962', 'i73566']"
spirito,"['i61378', 'i86825']"
preparazione,"['i40103', 'i62848']"
teoria,"['i68107', 'i68297']"
effetto,['i36243']
ripresa,['i36672']
credito,['i107022']
utilizzo,['i40384']
occasione,"['i113120', 'i113269']"
statuto,"['i70802', 'i70466']"
libertà,['i110463']
infrastruttura,['i55101']
vigore,"['i63463', 'i63437']"
partecipazione,"['i41886', 'i69362']"
iniziativa,['i62405']
opera,"['i73576', 'i38422', 'i61245']"
modalità,['i62886']
seguito,['i75030']
causa,['i35561']
fax,['i53562']
racconto,"['i69962', 'i74607']"
pace,"['i117514', 'i110351']"
raccolta,"['i79104', 'i40718']"
fascia,['i59695']
telefono,['i60065']
particolare,"['i109477', 'i67453']"
contributo,['i39545']
coppia,"['i79247', 'i79244']"
personalità,['i61348']
domanda,['i74475']
intervista,['i74204']
dolore,"['i76138', 'i76352']"
mercoledì,['i116902']
cambiamento,"['i37503', 'i36457']"
collegamento,"['i52280', 'i112780', 'i69410']"
iscrizione,['i35667']
pratica,"['i37557', 'i40105']"
produzione,['i40205']
esigenza,"['i67810', 'i112940']"
capitolo,"['i70093', 'i72136']"
forza,['i63463']
dividendo,"['i109030', 'i106484']"
trasformazione,['i37503']
previsione,['i71960']
istanza,['i70690']
autore,"['i90183', 'i94200', 'i87192']"
verifica,"['i74476', 'i36160']"
discorso,"['i74711', 'i74151']"
uscita,"['i35713', 'i53516']"
complesso,"['i80459', 'i67722']"
raggruppamento,"['i40705', 'i40714', 'i79104']"
processo,"['i35587', 'i40766']"
luce,"['i97892', 'i59231', 'i97765']"
isola,['i85597']
messaggio,"['i35593', 'i69368']"
avviso,"['i71549', 'i71545', 'i74624']"
passato,"['i116659', 'i69743', 'i116774']"
auto,['i51496']
risultato,"['i97576', 'i36243']"
prestazione,['i38426']
intervento,['i41891']
cassa,"['i51602', 'i55832', 'i52479', 'i51036']"
chiave,"['i61282', 'i55358']"
interpretazione,"['i67984', 'i67197']"
approvazione,"['i112745', 'i76158', 'i71625']"
evento,"['i35586', 'i75696']"
motivo,"['i71919', 'i56390', 'i35576']"
rappresentante,"['i93760', 'i92534']"
internet,['i55155']
giudizio,"['i67309', 'i41619', 'i67555', 'i39989']"
autorità,"['i88364', 'i88363', 'i79516']"
tratto,"['i61343', 'i72214', 'i72219']"
casco,['i52478']
incidente,"['i75057', 'i75060']"
