lemma,ilis
lys,['i51431']
system,"['i59913', 'i64381', 'i81450']"
reaksjon,"['i71326', 'i97589']"
operasjon,"['i38955', 'i39966', 'i37553']"
punkt,"['i110051', 'i82287']"
stykke,"['i86153', 'i77131']"
benk,['i50698']
andel,['i41091']
natur,"['i85848', 'i110197', 'i61872']"
selskap,"['i75850', 'i75849', 'i80500']"
hjelp,['i41714']
hånd,['i66153']
beregning,['i67375']
golf,['i37860']
mars,['i117156']
element,"['i52228', 'i56944']"
undertøy,['i60708']
husleie,['i106542']
slutt,['i70107']
vilje,['i66624']
organ,['i64800']
jakt,['i37789']
vei,"['i58206', 'i61035', 'i37589']"
oksygen,['i113978']
opposisjon,['i81265']
skoleelev,['i92757']
vert,"['i90917', 'i90580']"
overlevelse,['i110307']
tidspunkt,"['i117492', 'i116632']"
banan,['i77804']
håndverker,['i89293']
plattform,['i57430']
port,['i54238']
spann,"['i79245', 'i51202']"
register,"['i70654', 'i70569']"
lån,['i107149']
test,['i39567']
risiko,['i39621']
språk,"['i69527', 'i72795']"
likhet,"['i61954', 'i61951', 'i61949']"
planet,['i85986']
sommer,['i117310']
oppførsel,"['i41782', 'i62792']"
tank,['i59984']
balkong,['i50382']
boks,['i51426']
lettelse,['i112921']
kontrast,['i109737']
appelsin,['i77762']
mus,"['i56410', 'i47795']"
kveld,"['i116920', 'i116916']"
rolle,"['i39228', 'i67987']"
vits,"['i72108', 'i72053']"
storm,['i97824']
overflate,"['i82479', 'i59827']"
omstendighet,['i113269']
stang,"['i57505', 'i58230']"
rev,['i46575']
kontroll,['i112902']
mord,['i36562']
elektronikk,['i68688']
strupe,['i66072']
skygge,['i110428']
etasje,['i53866']
relevans,['i109396']
hage,"['i81475', 'i61309']"
felt,"['i68324', 'i68339']"
beskyttelse,['i39702']
krone,['i52549']
sekretær,['i92822']
bamse,"['i60056', 'i46658']"
jobb,"['i38687', 'i38467']"
taper,['i91091']
foto,['i57211']
kreativitet,['i40180']
brille,['i59285']
status,['i112835']
kollega,['i89072']
skål,['i51022']
bonus,['i106416']
kupp,['i41402']
statsråd,['i91387']
inntekt,['i106308']
kunde,['i89349']
forhandler,['i92550']
høyttaler,['i55832']
sans,['i66622']
motivasjon,['i35576']
plate,"['i71097', 'i59034']"
fotball,['i37904']
utvikling,"['i107557', 'i107620']"
kinn,['i66353']
forurensning,['i36854']
fløte,['i78406']
dimensjon,['i63761']
plikt,"['i39216', 'i41323']"
personlighet,['i61348']
begivenhet,['i74993']
vedlikehold,['i36802']
bord,"['i59923', 'i59922']"
