ili,representation_lemma,en_definitions,lang_lemmas
i89349,kunde,['someone who pays for goods or services'],kunde
i97824,storm,['a violent weather condition with winds 64-72 knots (11 on the Beaufort scale) and precipitation and thunder and lightning'],storm
i60056,bamse,"[""plaything consisting of a child's toy bear (usually plush and stuffed with soft materials)""]",bamse
i46658,bamse,['massive plantigrade carnivorous or omnivorous mammals with long shaggy coats and strong claws'],bjørn
i51426,boks,['airtight sealed metal container for food or drink or paint etc.'],boks
i50382,balkong,['a platform projecting from the wall of a building and surrounded by a balustrade or railing or parapet'],balkong
i61954,likhet,['the quality of being similar'],likhet
i61951,likhet,['exact sameness'],likhet
i61949,likhet,['the quality of being alike'],likhet
i58206,vei,['an open way (generally public) for travel or transportation'],vei
i61035,vei,['any artifact consisting of a road or path affording passage from one place to another'],vei
i37589,vei,['a course of conduct'],vei
i41402,kupp,['a sudden and decisive change of government illegally or by force'],kupp
i41714,hjelp,['the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose'],hjelp
i51431,lys,['stick of wax with a wick in the middle'],lys
i70107,slutt,['the last section of a communication'],slutt
i89293,håndverker,['a skilled worker who practices some trade or handicraft'],håndverker
i57211,foto,['a representation of a person or scene in the form of a print or transparent slide; recorded by a camera on light-sensitive material'],bilde
i79245,spann,['two or more draft animals that work together to pull something'],spann
i51202,spann,['a roughly cylindrical vessel that is open at the top'],spann
i107557,utvikling,['(biology) the sequence of events involved in the evolutionary development of a species or taxonomic group of organisms'],utvikling
i107620,utvikling,['(biology) the process of an individual organism growing organically; a purely biological unfolding of events involved in an organism changing gradually from a simple to a more complex level'],utvikling
i110051,punkt,['a very small circular shape'],punkt
i82287,punkt,['the precise location of something; a spatially limited location'],punkt
i112835,status,['relative status'],stilling
i89072,kollega,['an associate that one works with'],kollega
i67375,beregning,['problem solving that involves numbers or quantities'],beregning
i57430,plattform,['a raised horizontal surface'],plattform
i113269,omstendighet,['the set of facts or circumstances that surround a situation or event'],forbindelse
i71097,plate,['one or more recordings issued together; originally released on 12-inch phonograph records (usually with attractive record covers) and later on cassette audiotape and compact disc'],plate
i59034,plate,['block consisting of a thick piece of something'],plate
i90917,vert,['a landowner who leases to others'],vert
i90580,vert,['a person who invites guests to a social event (such as a party in his or her own home) and who is responsible for them while they are there'],vert
i41782,oppførsel,['manner of acting or controlling yourself'],oppførsel
i62792,oppførsel,['dignified manner or conduct'],oppførsel
i92822,sekretær,['an assistant who handles correspondence and clerical work for a boss or an organization'],sekretær
i52228,element,['an artifact that is one of the individual parts of which a composite entity is made up; especially a part that can be separated from or attached to a system'],element
i56944,element,['sheet that forms a distinct (usually flat and rectangular) section or component of something'],element
i85986,planet,"['(astronomy) any of the nine large celestial bodies in the solar system that revolve around the sun and shine by reflected light; Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, Neptune, and Pluto in order of their proximity to the sun; viewed from the constellation Hercules, all the planets rotate around the sun in a counterclockwise direction']",planet
i61348,personlighet,"['the complex of all the attributes--behavioral, temperamental, emotional and mental--that characterize a unique individual']",personlighet
i75850,selskap,['an occasion on which people can assemble for social interaction and entertainment'],selskap
i75849,selskap,['a vaguely specified social event'],selskap
i80500,selskap,['a group of people gathered together for pleasure'],selskap
i91091,taper,['a person with a record of failing; someone who loses consistently'],taper
i66153,hånd,['the (prehensile) extremity of the superior limb'],hånd
i109737,kontrast,['the opposition or dissimilarity of things that are compared'],kontrast
i55832,høyttaler,['electro-acoustic transducer that converts electrical signals into sounds loud enough to be heard at a distance'],høyttaler
i117492,tidspunkt,['a time assigned on a schedule or agenda'],tid
i116632,tidspunkt,['an amount of time'],tid
i78406,fløte,['the part of milk containing the butterfat'],fløte
i86153,stykke,['one of the parts into which something naturally divides'],stykke
i77131,stykke,['a serving that has been cut from a larger portion'],stykke
i68324,felt,['a branch of knowledge'],felt
i68339,felt,['a particular branch of scientific knowledge'],skole
i81475,hage,['the flowers or vegetables or fruits or herbs that are cultivated in a garden'],hage
i61309,hage,['the enclosed land around a house or other building'],hage
i107149,lån,['the temporary provision of money (usually at interest)'],lån
i60708,undertøy,['undergarment worn next to the skin and under the outer garments'],undertøy
i56410,mus,['a hand-operated electronic device that controls the coordinates of a cursor on your computer screen as you move it around on a pad; on the bottom of the device is a ball that rolls on the surface of the pad'],mus
i47795,mus,['any of numerous small rodents typically resembling diminutive rats having pointed snouts and small ears on elongated bodies with slender usually hairless tails'],mus
i70654,register,['an official written record of names or events or transactions'],register
i70569,register,['an alphabetical listing of names and topics along with page numbers where they are discussed'],register
i41091,andel,['the allotment of some amount by dividing something'],andel
i39216,plikt,['work that you are obliged to perform for moral or legal reasons'],plikt
i41323,plikt,['the social force that binds you to the courses of action demanded by that force'],ansvar
i110307,overlevelse,['a state of surviving; remaining alive'],overlevelse
i66624,vilje,['the capability of conscious choice and decision and intention'],vilje
i91387,statsråd,['a person appointed to a high office in the government'],statsråd
i92757,skoleelev,['a young person attending school (up through senior high school)'],elev
i110428,skygge,['shade within clear boundaries'],skygge
i37860,golf,['a game played on a large open course with 9 or 18 holes; the object is use as few strokes as possible in playing all the holes'],golf
i81265,opposisjon,['the major political party opposed to the party in office and prepared to replace it if elected'],opposisjon
i38955,operasjon,['a medical procedure involving an incision with instruments; performed to repair damage or arrest disease in a living body'],operasjon
i39966,operasjon,['(mathematics) calculation by mathematical methods'],operasjon
i37553,operasjon,['a planned activity involving many people performing various actions'],operasjon
i106542,husleie,"['a payment or series of payments made by the lessee to an owner for use of some property, facility, equipment, or service']",husleie
i69527,språk,['a systematic means of communicating by the use of sounds or conventional symbols'],språk
i72795,språk,['a human written or spoken language used by a community; opposed to e.g. a computer language'],språk
i85848,natur,['the natural physical world including plants and animals and landscapes etc.'],natur
i110197,natur,['a wild primitive state untouched by civilization'],natur
i61872,natur,['the essential qualities or characteristics by which something is recognized'],natur
i51022,skål,['a round vessel that is open at the top; used chiefly for holding food or liquids'],skål
i50698,benk,['a long seat for more than one person'],benk
i109396,relevans,['the relation of something to the matter at hand'],relevans
i39567,test,['the act of testing something'],test
i37904,fotball,"[""a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal""]",fotball
i57505,stang,['a long (usually round) rod of wood or metal or plastic'],stang
i58230,stang,['a long thin implement made of metal or wood'],stang
i59923,bord,['a piece of furniture with tableware for a meal laid out on it'],bord
i59922,bord,['a piece of furniture having a smooth flat top that is usually supported by one or more vertical legs'],bord
i82479,overflate,['the extended two-dimensional outer boundary of a three-dimensional object'],overflate
i59827,overflate,['the outer boundary of an artifact or a material layer constituting or resembling such a boundary'],overflate
i59984,tank,['an enclosed armored military vehicle; has a cannon and moves on caterpillar treads'],tank
i116920,kveld,['the time between sunset and midnight'],kveld
i116916,kveld,['the latter part of the day (the period of decreasing daylight from late afternoon until nightfall)'],kveld
i39702,beskyttelse,['the activity of protecting someone or something'],forsvar
i112921,lettelse,['the condition of being comfortable or relieved (especially after being relieved of distress)'],lettelse
i52549,crown,['an ornamental jeweled headdress signifying sovereignty'],krone
i66072,strupe,['the passage to the stomach and lungs; in the front part of the neck below the chin and above the collarbone'],hals
i74993,begivenhet,['an event characteristic of persons forming groups'],opplevelse
i106416,bonus,['a bonus; something extra (especially a share of a surplus)'],bonus
i117310,sommer,['the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox'],sommer
i112902,kontroll,['the state that exists when one person or group has power over another'],kontroll
i77762,appelsin,['round yellow to orange fruit of any of several citrus trees'],appelsin
i36802,vedlikehold,['activity involved in maintaining something in good working order'],vedlikehold
i46575,rev,['alert carnivorous mammal with pointed muzzle and ears and a bushy tail; most are predators that do not hunt in packs'],rev
i59285,brille,['optical instrument consisting of a frame that holds a pair of lenses for correcting defective vision'],briller
i54238,port,['a movable barrier in a fence or wall'],port
i63761,dimensjon,['the magnitude of something in a particular direction (especially length or width or height)'],dimensjon
i36562,mord,['unlawful premeditated killing of a human being by a human being'],mord
i86414,waterfall,['a steep descent of the water of a river'],fall
i116549,wood,['the hard fibrous lignified substance under the bark of trees'],tre
i98073,snow,['precipitation falling from clouds in the form of ice crystals'],snø
i58996,ski,['narrow wood or metal or plastic runners used in pairs for gliding over snow'],ski
i117323,season,['a recurrent time marked by major holidays'],tid
i115475,ice,['water frozen in the solid state'],is
i117312,winter,['the coldest season of the year; in the northern hemisphere it extends from the winter solstice to the vernal equinox'],vinter
i49007,salmon,['any of various large food and game fishes of northern waters; usually migrate from salt to fresh water to spawn'],laks
i77735,berry,['any of numerous small and pulpy edible fruits; used as desserts or in making jams and jellies and preserves'],bær
i48291,sheep,['woolly usually horned ruminant mammal related to the goat'],sau
i50885,boat,['a small vessel for travel on water'],båt
i85226,cloud,['a visible mass of water or ice particles suspended at a considerable altitude'],sky
i51337,cabin,['a small house built of wood; usually in a wooded area'],hytte
i85815,mountain,['a land mass that projects well above its surroundings; higher than a hill'],fjell
i116927,midnight,"[""12 o'clock at night; the middle of the night""]",midnatt
i82392,countryside,['rural regions'],land
i85897,ocean,['a large body of water constituting a principal part of the hydrosphere'],hav
i116932,aurora,['the first light of day'],daggry
